"ano","estado","municipio","margem_vitoria_mulher","cd_municipio","nome_eleito","partido_eleito","idade_eleito","educacao_eleito","mulher_eleita","total_votantes","total_abstencoes","tx_abstencao","codigo_ibge"
2004,"PR","PARAISO DO NORTE",-0.101250381213785,77410,"JOSÉ SEBASTIÃO MARINELO","PMDB",53,"SUPERIOR COMPLETO",FALSE,7972,1074,0.134721525338685,4118006
2004,"PR","PARANAPOEMA",0.029092983456931,77470,"NEUSA  DOS SANTOS DE CARVALHO","PP",49,"SUPERIOR COMPLETO",TRUE,2000,123,0.0615,4118303
2004,"PR","PATO BRAGADO",0.0842663523865645,74624,"NORMILDA KOEHLER","PMDB",48,"SUPERIOR COMPLETO",TRUE,3640,198,0.0543956043956044,4118451
2004,"PR","PEROLA",-0.0543726235741445,79693,"CLAITON CLEBER MENDES","PP",28,"SUPERIOR COMPLETO",FALSE,6250,316,0.05056,4118907
2004,"PR","PEROLA D OESTE",-0.0961127723195216,77593,"EDSON LUIZ BAGETTI","PPS",37,"SUPERIOR COMPLETO",FALSE,5302,439,0.0827989437947944,4119004
2004,"PR","PORTO RICO",-0.498412698412698,77836,"WALTER ROMAO DE OLIVEIRA","PMDB",49,"SUPERIOR COMPLETO",FALSE,1751,91,0.0519703026841805,4120200
2004,"PR","PORTO VITORIA",-0.0275745638716938,77852,"KURT NIELSEN JÚNIOR","PP",40,"SUPERIOR COMPLETO",FALSE,2900,235,0.0810344827586207,4120309
2004,"PR","PRANCHITA",0.218402961396087,79910,"IVA MAGNANI","PMDB",50,"MÉDIO COMPLETO",TRUE,4283,385,0.0898902638337614,4120358
2004,"PR","QUERENCIA DO NORTE",0.0226334049231786,77976,"ROZINEI APARECIDA RAGGIOTTO OLIVEIRA","PRP",40,"SUPERIOR COMPLETO",TRUE,7990,1527,0.191113892365457,4121000
2004,"PR","SALTO DO ITARARE",-0.0538243626062322,78352,"SELMO ADALBERTO DE CARVALHO","PSDB",30,"MÉDIO COMPLETO",FALSE,3854,181,0.0469641930461858,4122909
2004,"PR","SANTA CECILIA DO PAVAO",-0.121725731895223,78417,"EDIMAR APARECIDO PEREIRA DOS SANTOS","PDT",34,"SUPERIOR INCOMPLETO",FALSE,3097,339,0.109460768485631,4123204
2004,"PR","SANTA MARIANA",0.1048024012006,78530,"MARIA APARECIDA DE SOUZA LIMA BASSI","PP",50,"SUPERIOR COMPLETO",TRUE,9614,1182,0.122945704181402,4123907
